Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Denmark,West Denmark,DK-DK1,25.25,44.67,96.26,90.82,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Denmark,West Denmark,DK-DK1,14.03,31.51,97.68,91.66,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Denmark,West Denmark,DK-DK1,17.99,36.53,96.65,92.27,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Denmark,West Denmark,DK-DK1,15.42,33.14,97.21,94.91,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Denmark,West Denmark,DK-DK1,19.65,39.11,95.93,94.57,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Denmark,West Denmark,DK-DK1,20.62,40.4,95.64,93.9,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Denmark,West Denmark,DK-DK1,31.43,52.97,95.03,93.45,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Denmark,West Denmark,DK-DK1,17.22,35.46,97.27,91.87,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Denmark,West Denmark,DK-DK1,21.21,44.99,96.76,91.0,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Denmark,West Denmark,DK-DK1,39.35,68.5,94.35,89.29,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Denmark,West Denmark,DK-DK1,44.77,76.46,93.63,88.27,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Denmark,West Denmark,DK-DK1,45.06,77.36,93.67,88.8,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Denmark,West Denmark,DK-DK1,43.82,74.74,93.86,89.26,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Denmark,West Denmark,DK-DK1,45.32,75.9,93.7,89.36,entsoe.eu,false,""
