Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Finland,Finland,FI,43.68,81.66,93.79,52.34,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Finland,Finland,FI,45.02,83.89,93.57,50.77,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Finland,Finland,FI,47.87,87.18,93.15,50.08,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Finland,Finland,FI,42.83,80.99,93.93,51.97,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Finland,Finland,FI,44.91,83.8,93.65,51.16,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Finland,Finland,FI,48.45,88.16,93.21,49.26,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Finland,Finland,FI,50.62,91.65,92.95,49.17,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Finland,Finland,FI,54.9,96.96,92.32,49.16,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Finland,Finland,FI,59.11,101.92,91.45,48.84,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Finland,Finland,FI,57.44,102.15,91.69,49.14,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Finland,Finland,FI,57.43,103.18,91.69,49.29,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Finland,Finland,FI,60.26,106.01,91.18,48.86,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Finland,Finland,FI,61.88,108.13,91.04,48.98,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Finland,Finland,FI,62.7,108.94,90.77,49.51,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Finland,Finland,FI,61.24,106.92,90.85,50.35,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Finland,Finland,FI,62.94,109.51,90.33,49.94,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Finland,Finland,FI,65.02,111.94,89.98,49.47,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Finland,Finland,FI,66.61,114.04,89.81,49.12,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Finland,Finland,FI,65.62,113.17,90.18,48.96,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Finland,Finland,FI,66.55,114.54,89.9,47.88,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Finland,Finland,FI,69.23,117.22,89.56,48.16,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Finland,Finland,FI,72.25,120.7,89.03,47.18,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Finland,Finland,FI,69.26,117.26,89.56,46.81,entsoe.eu,false,""
2025-01-01T23:00:00.000000,Finland,Finland,FI,64.04,111.25,90.37,47.36,entsoe.eu,false,""
2025-01-02T00:00:00.000000,Finland,Finland,FI,66.03,113.23,90.12,46.63,entsoe.eu,false,""
2025-01-02T01:00:00.000000,Finland,Finland,FI,66.39,114.55,89.99,46.4,entsoe.eu,false,""
2025-01-02T02:00:00.000000,Finland,Finland,FI,66.03,115.39,89.89,46.47,entsoe.eu,false,""
2025-01-02T03:00:00.000000,Finland,Finland,FI,68.61,118.67,89.2,46.8,entsoe.eu,false,""
2025-01-02T04:00:00.000000,Finland,Finland,FI,67.65,117.37,89.2,49.06,entsoe.eu,false,""
2025-01-02T05:00:00.000000,Finland,Finland,FI,72.79,123.89,87.97,49.33,entsoe.eu,false,""
2025-01-02T06:00:00.000000,Finland,Finland,FI,80.8,135.58,86.35,48.82,entsoe.eu,false,""
2025-01-02T07:00:00.000000,Finland,Finland,FI,86.02,142.0,85.23,47.98,entsoe.eu,false,""
2025-01-02T08:00:00.000000,Finland,Finland,FI,85.41,140.42,85.24,48.01,entsoe.eu,false,""
2025-01-02T09:00:00.000000,Finland,Finland,FI,85.74,140.02,85.26,48.55,entsoe.eu,false,""
2025-01-02T10:00:00.000000,Finland,Finland,FI,88.87,143.48,84.81,47.96,entsoe.eu,false,""
2025-01-02T11:00:00.000000,Finland,Finland,FI,90.37,145.04,84.52,47.8,entsoe.eu,false,""
2025-01-02T12:00:00.000000,Finland,Finland,FI,88.93,143.64,84.9,47.98,entsoe.eu,false,""
2025-01-02T13:00:00.000000,Finland,Finland,FI,85.88,139.46,85.51,49.4,entsoe.eu,false,""
2025-01-02T14:00:00.000000,Finland,Finland,FI,87.03,141.65,85.32,50.26,entsoe.eu,false,""
2025-01-02T15:00:00.000000,Finland,Finland,FI,87.9,144.05,85.05,50.47,entsoe.eu,false,""
2025-01-02T16:00:00.000000,Finland,Finland,FI,82.45,136.57,86.39,51.95,entsoe.eu,false,""
2025-01-02T17:00:00.000000,Finland,Finland,FI,76.65,128.8,87.68,53.69,entsoe.eu,false,""
2025-01-02T18:00:00.000000,Finland,Finland,FI,75.75,127.32,87.91,53.58,entsoe.eu,false,""
2025-01-02T19:00:00.000000,Finland,Finland,FI,74.49,124.94,88.27,52.72,entsoe.eu,false,""
2025-01-02T20:00:00.000000,Finland,Finland,FI,69.71,118.6,89.0,53.03,entsoe.eu,false,""
2025-01-02T21:00:00.000000,Finland,Finland,FI,65.53,113.73,89.68,52.94,entsoe.eu,false,""
2025-01-02T22:00:00.000000,Finland,Finland,FI,63.9,112.29,90.1,52.4,entsoe.eu,false,""
2025-01-02T23:00:00.000000,Finland,Finland,FI,65.38,114.13,89.84,51.03,entsoe.eu,false,""
2025-01-03T00:00:00.000000,Finland,Finland,FI,66.49,115.73,89.7,50.09,entsoe.eu,false,""
2025-01-03T01:00:00.000000,Finland,Finland,FI,67.23,116.53,89.6,49.96,entsoe.eu,false,""
2025-01-03T02:00:00.000000,Finland,Finland,FI,67.89,115.34,89.53,49.94,entsoe.eu,false,""
2025-01-03T03:00:00.000000,Finland,Finland,FI,71.02,117.05,89.0,49.83,entsoe.eu,false,""
2025-01-03T04:00:00.000000,Finland,Finland,FI,78.5,125.8,87.59,49.64,entsoe.eu,false,""
2025-01-03T05:00:00.000000,Finland,Finland,FI,82.87,131.42,86.59,49.48,entsoe.eu,false,""
2025-01-03T06:00:00.000000,Finland,Finland,FI,81.72,129.97,86.82,50.09,entsoe.eu,false,""
2025-01-03T07:00:00.000000,Finland,Finland,FI,84.03,133.45,86.36,49.62,entsoe.eu,false,""
2025-01-03T08:00:00.000000,Finland,Finland,FI,83.43,133.64,86.5,49.74,entsoe.eu,false,""
2025-01-03T09:00:00.000000,Finland,Finland,FI,82.39,133.64,86.59,50.82,entsoe.eu,false,""
2025-01-03T10:00:00.000000,Finland,Finland,FI,84.53,136.46,85.85,50.31,entsoe.eu,false,""
2025-01-03T11:00:00.000000,Finland,Finland,FI,83.61,135.84,85.76,50.07,entsoe.eu,false,""
2025-01-03T12:00:00.000000,Finland,Finland,FI,84.12,137.38,85.67,49.62,entsoe.eu,false,""
2025-01-03T13:00:00.000000,Finland,Finland,FI,84.79,138.45,85.78,49.97,entsoe.eu,false,""
2025-01-03T14:00:00.000000,Finland,Finland,FI,87.75,141.88,85.42,49.8,entsoe.eu,false,""
2025-01-03T15:00:00.000000,Finland,Finland,FI,87.96,138.84,85.55,49.79,entsoe.eu,false,""
2025-01-03T16:00:00.000000,Finland,Finland,FI,91.23,142.19,84.81,49.18,entsoe.eu,false,""
2025-01-03T17:00:00.000000,Finland,Finland,FI,92.3,142.87,84.76,49.11,entsoe.eu,false,""
2025-01-03T18:00:00.000000,Finland,Finland,FI,92.5,143.72,84.7,48.73,entsoe.eu,false,""
2025-01-03T19:00:00.000000,Finland,Finland,FI,92.65,144.78,84.49,47.33,entsoe.eu,false,""
2025-01-03T20:00:00.000000,Finland,Finland,FI,90.02,141.45,85.36,47.8,entsoe.eu,false,""
2025-01-03T21:00:00.000000,Finland,Finland,FI,85.01,135.71,86.87,48.63,entsoe.eu,false,""
2025-01-03T22:00:00.000000,Finland,Finland,FI,76.94,124.9,88.51,49.49,entsoe.eu,false,""
2025-01-03T23:00:00.000000,Finland,Finland,FI,71.85,119.02,89.6,50.54,entsoe.eu,false,""
2025-01-04T00:00:00.000000,Finland,Finland,FI,71.31,118.47,89.66,50.3,entsoe.eu,false,""
2025-01-04T01:00:00.000000,Finland,Finland,FI,71.59,118.63,89.63,49.75,entsoe.eu,false,""
2025-01-04T02:00:00.000000,Finland,Finland,FI,73.19,120.75,89.43,49.16,entsoe.eu,false,""
2025-01-04T03:00:00.000000,Finland,Finland,FI,72.86,120.47,89.5,49.44,entsoe.eu,false,""
2025-01-04T04:00:00.000000,Finland,Finland,FI,74.46,122.6,89.1,49.52,entsoe.eu,false,""
2025-01-04T05:00:00.000000,Finland,Finland,FI,73.78,121.84,89.02,49.75,entsoe.eu,false,""
2025-01-04T06:00:00.000000,Finland,Finland,FI,77.54,126.4,88.42,49.8,entsoe.eu,false,""
2025-01-04T07:00:00.000000,Finland,Finland,FI,84.58,134.55,86.96,49.72,entsoe.eu,false,""
2025-01-04T08:00:00.000000,Finland,Finland,FI,92.05,143.25,85.48,49.48,entsoe.eu,false,""
2025-01-04T09:00:00.000000,Finland,Finland,FI,95.01,148.2,84.66,48.67,entsoe.eu,false,""
2025-01-04T10:00:00.000000,Finland,Finland,FI,97.05,152.61,84.03,48.09,entsoe.eu,false,""
2025-01-04T11:00:00.000000,Finland,Finland,FI,97.54,153.03,83.76,48.59,entsoe.eu,false,""
2025-01-04T12:00:00.000000,Finland,Finland,FI,98.28,153.61,83.77,48.88,entsoe.eu,false,""
2025-01-04T13:00:00.000000,Finland,Finland,FI,99.68,155.62,83.56,48.65,entsoe.eu,false,""
2025-01-04T14:00:00.000000,Finland,Finland,FI,101.96,159.43,83.2,48.57,entsoe.eu,false,""
2025-01-04T15:00:00.000000,Finland,Finland,FI,103.06,159.99,83.22,49.16,entsoe.eu,false,""
2025-01-04T16:00:00.000000,Finland,Finland,FI,101.09,157.32,83.59,49.98,entsoe.eu,false,""
2025-01-04T17:00:00.000000,Finland,Finland,FI,100.34,156.9,83.72,49.73,entsoe.eu,false,""
2025-01-04T18:00:00.000000,Finland,Finland,FI,99.41,156.34,83.76,49.34,entsoe.eu,false,""
2025-01-04T19:00:00.000000,Finland,Finland,FI,94.35,150.3,84.75,48.96,entsoe.eu,false,""
2025-01-04T20:00:00.000000,Finland,Finland,FI,82.08,134.36,87.45,51.3,entsoe.eu,false,""
2025-01-04T21:00:00.000000,Finland,Finland,FI,82.75,134.59,87.46,50.5,entsoe.eu,false,""
2025-01-04T22:00:00.000000,Finland,Finland,FI,77.0,126.95,88.5,50.39,entsoe.eu,false,""
2025-01-04T23:00:00.000000,Finland,Finland,FI,70.05,118.64,89.55,50.11,entsoe.eu,false,""
2025-01-05T00:00:00.000000,Finland,Finland,FI,70.11,118.8,89.67,49.95,entsoe.eu,false,""
2025-01-05T01:00:00.000000,Finland,Finland,FI,72.44,121.74,89.39,49.54,entsoe.eu,false,""
2025-01-05T02:00:00.000000,Finland,Finland,FI,72.63,122.29,89.36,49.55,entsoe.eu,false,""
2025-01-05T03:00:00.000000,Finland,Finland,FI,69.65,118.93,89.74,50.57,entsoe.eu,false,""
2025-01-05T04:00:00.000000,Finland,Finland,FI,71.3,120.89,89.58,50.63,entsoe.eu,false,""
2025-01-05T05:00:00.000000,Finland,Finland,FI,75.15,127.01,88.82,49.97,entsoe.eu,false,""
2025-01-05T06:00:00.000000,Finland,Finland,FI,74.06,126.01,88.85,50.86,entsoe.eu,false,""
2025-01-05T07:00:00.000000,Finland,Finland,FI,73.33,124.5,88.87,50.89,entsoe.eu,false,""
2025-01-05T08:00:00.000000,Finland,Finland,FI,71.89,123.17,88.9,51.02,entsoe.eu,false,""
2025-01-05T09:00:00.000000,Finland,Finland,FI,71.09,121.75,88.94,51.25,entsoe.eu,false,""
2025-01-05T10:00:00.000000,Finland,Finland,FI,72.43,123.99,88.76,50.92,entsoe.eu,false,""
2025-01-05T11:00:00.000000,Finland,Finland,FI,71.36,122.5,88.96,51.47,entsoe.eu,false,""
2025-01-05T12:00:00.000000,Finland,Finland,FI,70.82,121.56,89.04,51.99,entsoe.eu,false,""
2025-01-05T13:00:00.000000,Finland,Finland,FI,70.79,120.61,89.13,52.54,entsoe.eu,false,""
2025-01-05T14:00:00.000000,Finland,Finland,FI,69.88,118.32,89.61,53.75,entsoe.eu,false,""
2025-01-05T15:00:00.000000,Finland,Finland,FI,70.37,118.18,89.67,54.58,entsoe.eu,false,""
2025-01-05T16:00:00.000000,Finland,Finland,FI,70.56,118.09,89.73,55.66,entsoe.eu,false,""
2025-01-05T17:00:00.000000,Finland,Finland,FI,65.52,111.39,90.83,57.14,entsoe.eu,false,""
2025-01-05T18:00:00.000000,Finland,Finland,FI,60.8,106.56,91.43,57.15,entsoe.eu,false,""
2025-01-05T19:00:00.000000,Finland,Finland,FI,56.74,102.64,91.9,56.81,entsoe.eu,false,""
2025-01-05T20:00:00.000000,Finland,Finland,FI,53.82,98.99,92.37,56.6,entsoe.eu,false,""
2025-01-05T21:00:00.000000,Finland,Finland,FI,53.64,99.54,92.48,56.13,entsoe.eu,false,""
2025-01-05T22:00:00.000000,Finland,Finland,FI,53.28,99.79,92.54,54.99,entsoe.eu,false,""
2025-01-05T23:00:00.000000,Finland,Finland,FI,57.12,102.54,92.1,53.28,entsoe.eu,false,""
2025-01-06T00:00:00.000000,Finland,Finland,FI,60.38,106.65,91.65,52.08,entsoe.eu,false,""
2025-01-06T01:00:00.000000,Finland,Finland,FI,62.95,109.54,91.26,51.09,entsoe.eu,false,""
2025-01-06T02:00:00.000000,Finland,Finland,FI,63.63,110.81,91.12,50.6,entsoe.eu,false,""
2025-01-06T03:00:00.000000,Finland,Finland,FI,65.7,113.14,90.78,49.97,entsoe.eu,false,""
2025-01-06T04:00:00.000000,Finland,Finland,FI,67.2,115.04,90.58,49.85,entsoe.eu,false,""
