Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,France,France,FR,14.87,29.89,96.32,29.55,opendata.reseaux-energies.fr,false,""
2025-01-01T01:00:00.000000,France,France,FR,14.37,29.29,96.47,29.75,opendata.reseaux-energies.fr,false,""
2025-01-01T02:00:00.000000,France,France,FR,14.28,29.3,96.45,30.06,opendata.reseaux-energies.fr,false,""
2025-01-01T03:00:00.000000,France,France,FR,14.48,29.64,96.41,30.77,opendata.reseaux-energies.fr,false,""
2025-01-01T04:00:00.000000,France,France,FR,14.27,29.41,96.46,31.33,opendata.reseaux-energies.fr,false,""
2025-01-01T05:00:00.000000,France,France,FR,14.14,29.24,96.49,31.71,opendata.reseaux-energies.fr,false,""
2025-01-01T06:00:00.000000,France,France,FR,15.08,30.47,96.27,32.72,opendata.reseaux-energies.fr,false,""
2025-01-01T07:00:00.000000,France,France,FR,14.42,29.62,96.4,32.5,opendata.reseaux-energies.fr,false,""
2025-01-01T08:00:00.000000,France,France,FR,13.17,28.2,96.68,33.41,opendata.reseaux-energies.fr,false,""
2025-01-01T09:00:00.000000,France,France,FR,12.07,27.34,96.96,34.8,opendata.reseaux-energies.fr,false,""
2025-01-01T10:00:00.000000,France,France,FR,10.96,26.4,97.2,36.5,opendata.reseaux-energies.fr,false,""
2025-01-01T11:00:00.000000,France,France,FR,10.65,26.13,97.28,37.5,opendata.reseaux-energies.fr,false,""
2025-01-01T12:00:00.000000,France,France,FR,10.5,26.13,97.31,38.69,opendata.reseaux-energies.fr,false,""
2025-01-01T13:00:00.000000,France,France,FR,10.59,26.02,97.29,37.77,opendata.reseaux-energies.fr,false,""
2025-01-01T14:00:00.000000,France,France,FR,11.22,26.32,97.16,35.96,opendata.reseaux-energies.fr,false,""
2025-01-01T15:00:00.000000,France,France,FR,11.65,26.1,97.04,33.53,opendata.reseaux-energies.fr,false,""
2025-01-01T16:00:00.000000,France,France,FR,12.31,26.4,96.85,31.59,opendata.reseaux-energies.fr,false,""
2025-01-01T17:00:00.000000,France,France,FR,11.89,25.73,96.96,31.73,opendata.reseaux-energies.fr,false,""
2025-01-01T18:00:00.000000,France,France,FR,13.07,27.17,96.68,31.16,opendata.reseaux-energies.fr,false,""
2025-01-01T19:00:00.000000,France,France,FR,13.07,27.16,96.67,30.48,opendata.reseaux-energies.fr,false,""
