Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Great Britain,Great Britain,GB,47.46,78.85,87.62,71.83,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T01:00:00.000000,Great Britain,Great Britain,GB,49.96,82.98,87.02,70.92,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T02:00:00.000000,Great Britain,Great Britain,GB,47.87,79.61,87.52,71.03,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T03:00:00.000000,Great Britain,Great Britain,GB,41.48,70.12,89.23,72.25,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T04:00:00.000000,Great Britain,Great Britain,GB,42.29,71.13,89.2,72.13,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T05:00:00.000000,Great Britain,Great Britain,GB,41.85,71.24,89.19,71.81,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T06:00:00.000000,Great Britain,Great Britain,GB,39.0,66.93,89.93,72.46, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T07:00:00.000000,Great Britain,Great Britain,GB,38.66,66.53,89.98,72.15,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T08:00:00.000000,Great Britain,Great Britain,GB,40.27,68.4,89.94,71.91,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T09:00:00.000000,Great Britain,Great Britain,GB,35.72,62.74,91.18,74.12,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T10:00:00.000000,Great Britain,Great Britain,GB,34.75,61.77,91.78,73.9,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T11:00:00.000000,Great Britain,Great Britain,GB,29.97,57.29,92.85,72.89,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T12:00:00.000000,Great Britain,Great Britain,GB,30.91,58.88,92.52,72.74,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T13:00:00.000000,Great Britain,Great Britain,GB,34.98,64.85,91.42,71.81,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T14:00:00.000000,Great Britain,Great Britain,GB,37.4,69.66,90.91,71.1,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T15:00:00.000000,Great Britain,Great Britain,GB,57.11,99.05,85.64,65.88,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T16:00:00.000000,Great Britain,Great Britain,GB,71.06,117.08,82.4,63.22,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T17:00:00.000000,Great Britain,Great Britain,GB,83.74,132.95,79.3,60.6,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T18:00:00.000000,Great Britain,Great Britain,GB,86.47,136.79,78.58,59.49, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T19:00:00.000000,Great Britain,Great Britain,GB,82.54,132.44,79.24,59.34,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T20:00:00.000000,Great Britain,Great Britain,GB,80.26,130.38,79.53,58.67, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T21:00:00.000000,Great Britain,Great Britain,GB,76.77,126.59,80.77,58.48, nationalgrideso.com; elexon.co.uk,false,""
2025-01-01T22:00:00.000000,Great Britain,Great Britain,GB,65.23,113.03,83.67,59.72,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-01T23:00:00.000000,Great Britain,Great Britain,GB,56.06,102.39,86.18,60.27,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T00:00:00.000000,Great Britain,Great Britain,GB,54.44,100.8,87.0,59.83, nationalgrideso.com; elexon.co.uk,false,""
2025-01-02T01:00:00.000000,Great Britain,Great Britain,GB,56.86,103.67,86.45,59.08,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T02:00:00.000000,Great Britain,Great Britain,GB,46.67,89.84,89.01,61.06,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T03:00:00.000000,Great Britain,Great Britain,GB,47.21,91.92,88.89,60.62,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T04:00:00.000000,Great Britain,Great Britain,GB,48.0,92.19,88.22,60.1,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T05:00:00.000000,Great Britain,Great Britain,GB,54.77,97.02,86.45,59.29,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T06:00:00.000000,Great Britain,Great Britain,GB,75.28,122.34,80.91,56.3,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T07:00:00.000000,Great Britain,Great Britain,GB,119.5,177.78,69.32,50.25, nationalgrideso.com; elexon.co.uk,false,""
2025-01-02T08:00:00.000000,Great Britain,Great Britain,GB,124.85,184.07,67.32,48.45, nationalgrideso.com; elexon.co.uk,false,""
2025-01-02T09:00:00.000000,Great Britain,Great Britain,GB,127.46,187.31,66.7,48.46,elexon.co.uk;  nationalgrideso.com,false,""
2025-01-02T10:00:00.000000,Great Britain,Great Britain,GB,118.93,177.42,68.45,51.4, nationalgrideso.com; elexon.co.uk,false,""
