Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Norway,Northern Norway,NO-NO4,20.13,46.35,94.95,94.85,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Norway,Northern Norway,NO-NO4,19.65,46.44,95.07,95.02,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Norway,Northern Norway,NO-NO4,20.07,46.74,94.97,94.82,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Norway,Northern Norway,NO-NO4,20.06,46.87,94.96,94.96,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Norway,Northern Norway,NO-NO4,21.0,47.4,94.72,94.67,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Norway,Northern Norway,NO-NO4,19.78,45.9,95.03,95.02,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Norway,Northern Norway,NO-NO4,20.42,46.24,94.89,94.68,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Norway,Northern Norway,NO-NO4,19.0,45.02,95.21,95.16,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Norway,Northern Norway,NO-NO4,18.27,44.39,95.39,95.39,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Norway,Northern Norway,NO-NO4,18.53,44.1,95.34,95.34,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Norway,Northern Norway,NO-NO4,17.82,43.68,95.49,95.49,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Norway,Northern Norway,NO-NO4,17.04,44.21,95.69,95.69,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Norway,Northern Norway,NO-NO4,16.82,44.46,95.77,95.66,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Norway,Northern Norway,NO-NO4,16.38,43.57,95.86,95.71,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Norway,Northern Norway,NO-NO4,14.71,40.69,96.18,96.17,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Norway,Northern Norway,NO-NO4,15.61,40.84,95.95,95.95,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Norway,Northern Norway,NO-NO4,16.04,41.03,95.83,95.83,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Norway,Northern Norway,NO-NO4,16.1,40.89,95.8,95.8,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Norway,Northern Norway,NO-NO4,16.61,41.61,95.68,95.68,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Norway,Northern Norway,NO-NO4,17.95,43.32,95.41,95.4,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Norway,Northern Norway,NO-NO4,19.82,45.41,95.0,95.0,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Norway,Northern Norway,NO-NO4,19.59,45.64,95.06,95.06,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Norway,Northern Norway,NO-NO4,19.95,46.09,94.95,94.95,entsoe.eu,false,""
2025-01-01T23:00:00.000000,Norway,Northern Norway,NO-NO4,18.75,45.98,95.26,95.26,entsoe.eu,false,""
2025-01-02T00:00:00.000000,Norway,Northern Norway,NO-NO4,20.51,48.09,94.82,94.82,entsoe.eu,false,""
2025-01-02T01:00:00.000000,Norway,Northern Norway,NO-NO4,20.74,48.18,94.73,94.73,entsoe.eu,false,""
2025-01-02T02:00:00.000000,Norway,Northern Norway,NO-NO4,21.41,48.22,94.57,94.57,entsoe.eu,false,""
2025-01-02T03:00:00.000000,Norway,Northern Norway,NO-NO4,21.72,48.97,94.51,94.51,entsoe.eu,false,""
2025-01-02T04:00:00.000000,Norway,Northern Norway,NO-NO4,20.27,47.71,94.88,94.88,entsoe.eu,false,""
2025-01-02T05:00:00.000000,Norway,Northern Norway,NO-NO4,18.79,46.28,95.24,95.24,entsoe.eu,false,""
2025-01-02T06:00:00.000000,Norway,Northern Norway,NO-NO4,19.01,46.34,95.17,95.17,entsoe.eu,false,""
2025-01-02T07:00:00.000000,Norway,Northern Norway,NO-NO4,18.85,45.72,95.22,95.22,entsoe.eu,false,""
2025-01-02T08:00:00.000000,Norway,Northern Norway,NO-NO4,19.9,47.02,95.02,94.83,entsoe.eu,false,""
2025-01-02T09:00:00.000000,Norway,Northern Norway,NO-NO4,19.51,46.67,95.13,94.83,entsoe.eu,false,""
2025-01-02T10:00:00.000000,Norway,Northern Norway,NO-NO4,19.15,46.0,95.21,94.89,entsoe.eu,false,""
2025-01-02T11:00:00.000000,Norway,Northern Norway,NO-NO4,19.49,46.13,95.12,94.93,entsoe.eu,false,""
2025-01-02T12:00:00.000000,Norway,Northern Norway,NO-NO4,19.42,46.0,95.09,95.06,entsoe.eu,false,""
2025-01-02T13:00:00.000000,Norway,Northern Norway,NO-NO4,19.82,46.83,94.98,94.97,entsoe.eu,false,""
2025-01-02T14:00:00.000000,Norway,Northern Norway,NO-NO4,19.88,46.73,95.0,94.86,entsoe.eu,false,""
2025-01-02T15:00:00.000000,Norway,Northern Norway,NO-NO4,19.79,46.23,94.98,94.95,entsoe.eu,false,""
2025-01-02T16:00:00.000000,Norway,Northern Norway,NO-NO4,19.53,46.05,95.04,95.0,entsoe.eu,false,""
2025-01-02T17:00:00.000000,Norway,Northern Norway,NO-NO4,19.3,46.17,95.09,95.09,entsoe.eu,false,""
2025-01-02T18:00:00.000000,Norway,Northern Norway,NO-NO4,19.26,46.28,95.11,95.11,entsoe.eu,false,""
2025-01-02T19:00:00.000000,Norway,Northern Norway,NO-NO4,19.17,46.11,95.14,95.14,entsoe.eu,false,""
2025-01-02T20:00:00.000000,Norway,Northern Norway,NO-NO4,19.73,47.15,95.0,95.0,entsoe.eu,false,""
2025-01-02T21:00:00.000000,Norway,Northern Norway,NO-NO4,19.82,47.23,94.99,94.99,entsoe.eu,false,""
2025-01-02T22:00:00.000000,Norway,Northern Norway,NO-NO4,18.35,45.59,95.36,95.36,entsoe.eu,false,""
2025-01-02T23:00:00.000000,Norway,Northern Norway,NO-NO4,18.85,45.9,95.24,95.24,entsoe.eu,false,""
2025-01-03T00:00:00.000000,Norway,Northern Norway,NO-NO4,18.87,45.85,95.25,95.25,entsoe.eu,false,""
2025-01-03T01:00:00.000000,Norway,Northern Norway,NO-NO4,18.91,46.04,95.24,95.24,entsoe.eu,false,""
2025-01-03T02:00:00.000000,Norway,Northern Norway,NO-NO4,18.67,45.88,95.29,95.29,entsoe.eu,false,""
