Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Poland,Poland,PL,404.1,459.09,44.61,44.47,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Poland,Poland,PL,406.7,462.03,44.17,44.03,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Poland,Poland,PL,414.49,470.74,43.01,42.83,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Poland,Poland,PL,433.63,491.45,40.55,40.33,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Poland,Poland,PL,440.3,498.53,39.58,39.35,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Poland,Poland,PL,451.98,511.13,38.17,37.9,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Poland,Poland,PL,460.72,520.31,36.91,36.72,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Poland,Poland,PL,432.66,490.89,40.65,40.47,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Poland,Poland,PL,445.75,506.03,38.8,38.57,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Poland,Poland,PL,437.86,497.21,40.13,39.97,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Poland,Poland,PL,431.37,490.34,40.91,40.76,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Poland,Poland,PL,437.51,496.39,40.16,40.05,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Poland,Poland,PL,426.13,483.51,41.34,41.22,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Poland,Poland,PL,390.2,443.17,46.38,46.24,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Poland,Poland,PL,394.47,446.78,46.05,45.91,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Poland,Poland,PL,357.35,406.92,50.85,50.69,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Poland,Poland,PL,351.9,400.68,51.75,51.58,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Poland,Poland,PL,351.63,400.0,52.01,51.87,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Poland,Poland,PL,355.49,403.9,51.54,51.42,entsoe.eu,false,""
