Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Sweden,Sweden,SE,11.86,29.18,98.45,68.28,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Sweden,Sweden,SE,14.7,31.36,98.05,66.28,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Sweden,Sweden,SE,20.32,37.83,97.27,65.15,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Sweden,Sweden,SE,24.82,43.15,96.49,64.85,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Sweden,Sweden,SE,21.95,39.66,97.03,65.13,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Sweden,Sweden,SE,23.11,41.38,96.87,66.82,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Sweden,Sweden,SE,23.79,42.65,96.78,67.47,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Sweden,Sweden,SE,19.83,37.72,97.34,69.49,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Sweden,Sweden,SE,19.98,38.11,97.31,70.0,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Sweden,Sweden,SE,19.57,37.79,97.37,71.26,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Sweden,Sweden,SE,19.01,37.12,97.45,71.47,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Sweden,Sweden,SE,18.61,35.9,97.51,71.93,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Sweden,Sweden,SE,18.37,35.82,97.53,72.54,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Sweden,Sweden,SE,16.07,34.18,97.86,73.21,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Sweden,Sweden,SE,8.7,25.79,98.88,73.57,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Sweden,Sweden,SE,6.18,23.59,99.23,74.69,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Sweden,Sweden,SE,4.75,21.49,99.42,75.11,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Sweden,Sweden,SE,5.51,22.36,99.32,75.19,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Sweden,Sweden,SE,4.8,21.56,99.42,74.87,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Sweden,Sweden,SE,4.8,21.42,99.43,74.36,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Sweden,Sweden,SE,8.44,25.18,98.93,73.95,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Sweden,Sweden,SE,8.41,24.39,98.9,73.84,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Sweden,Sweden,SE,12.49,28.91,98.29,72.83,entsoe.eu,false,""
