Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,USA,New York ISO,US-NY-NYIS,216.54,281.3,51.83,27.6,nyiso.com,false,""
2025-01-01T01:00:00.000000,USA,New York ISO,US-NY-NYIS,212.73,276.65,52.71,28.25,nyiso.com,false,""
2025-01-01T02:00:00.000000,USA,New York ISO,US-NY-NYIS,209.35,271.76,53.94,28.19,nyiso.com,false,""
2025-01-01T03:00:00.000000,USA,New York ISO,US-NY-NYIS,215.02,278.65,52.58,25.67,nyiso.com,false,""
2025-01-01T04:00:00.000000,USA,New York ISO,US-NY-NYIS,212.23,274.47,53.49,24.04,nyiso.com,false,""
2025-01-01T05:00:00.000000,USA,New York ISO,US-NY-NYIS,201.54,260.49,56.39,24.57,nyiso.com,false,""
2025-01-01T06:00:00.000000,USA,New York ISO,US-NY-NYIS,195.16,252.33,58.0,25.34,nyiso.com,false,""
2025-01-01T07:00:00.000000,USA,New York ISO,US-NY-NYIS,196.38,253.72,57.8,24.47,nyiso.com,false,""
2025-01-01T08:00:00.000000,USA,New York ISO,US-NY-NYIS,200.28,258.35,57.08,23.71,nyiso.com,false,""
2025-01-01T09:00:00.000000,USA,New York ISO,US-NY-NYIS,200.93,259.18,56.93,23.18,nyiso.com,false,""
2025-01-01T10:00:00.000000,USA,New York ISO,US-NY-NYIS,198.22,255.72,57.6,23.74,nyiso.com,false,""
2025-01-01T11:00:00.000000,USA,New York ISO,US-NY-NYIS,191.46,247.63,59.15,26.17,nyiso.com,false,""
2025-01-01T12:00:00.000000,USA,New York ISO,US-NY-NYIS,184.54,239.75,60.32,28.46,nyiso.com,false,""
2025-01-01T13:00:00.000000,USA,New York ISO,US-NY-NYIS,180.57,235.2,61.11,30.53,nyiso.com,false,""
2025-01-01T14:00:00.000000,USA,New York ISO,US-NY-NYIS,187.9,244.8,59.16,29.94,nyiso.com,false,""
2025-01-01T15:00:00.000000,USA,New York ISO,US-NY-NYIS,188.52,245.6,59.09,30.76,nyiso.com,false,""
2025-01-01T16:00:00.000000,USA,New York ISO,US-NY-NYIS,193.79,252.34,57.73,30.27,nyiso.com,false,""
2025-01-01T17:00:00.000000,USA,New York ISO,US-NY-NYIS,198.37,257.96,56.64,29.84,nyiso.com,false,""
2025-01-01T18:00:00.000000,USA,New York ISO,US-NY-NYIS,200.12,260.33,56.12,29.73,nyiso.com,false,""
2025-01-01T19:00:00.000000,USA,New York ISO,US-NY-NYIS,193.66,252.62,57.35,31.21,nyiso.com,false,""
2025-01-01T20:00:00.000000,USA,New York ISO,US-NY-NYIS,195.12,254.71,56.79,31.01,nyiso.com,false,""
2025-01-01T21:00:00.000000,USA,New York ISO,US-NY-NYIS,199.03,259.85,55.65,30.52,nyiso.com,false,""
2025-01-01T22:00:00.000000,USA,New York ISO,US-NY-NYIS,206.47,269.29,53.84,30.39,nyiso.com,false,""
2025-01-01T23:00:00.000000,USA,New York ISO,US-NY-NYIS,205.13,267.41,54.31,30.81,nyiso.com,false,""
