pattern,condition,mean_energy_wh,mean_carbon_gco2,mean_sla_violation,mean_re_used_wh
uniform,sunny,6998.9909,6.4429,24.4173,6593.5977
uniform,cloudy,7104.2287,45.8144,22.3569,5275.1079
uniform,no_re,7371.5313,288.7143,23.4898,0.0000
bursty,sunny,7075.3338,6.6091,19.2652,6683.3922
bursty,cloudy,7164.2253,43.1649,20.9625,5275.1705
bursty,no_re,7352.8081,277.3027,23.1870,0.0000
heavy,sunny,7454.5385,10.4648,54.9663,6941.7669
heavy,cloudy,7367.5088,56.2972,56.8499,5304.6092
heavy,no_re,7565.0193,302.3986,56.8726,0.0000
light,sunny,6794.0334,4.1515,4.7500,6468.9710
light,cloudy,6885.9647,43.2985,5.1106,5247.2695
light,no_re,7117.6773,267.0467,5.7000,0.0000
